"EST","DTO","MUN","SECC","date","est.punt","cota.inf","cota.sup"
"2","3","1","126",2021-10-01,17597.1829196795,16926.2279856491,18268.1378537099
"2","3","1","126",2021-11-01,17647.313718976,16975.5846093803,18319.0428285716
"2","3","1","126",2021-12-01,17697.4445182724,17024.9301424262,18369.9588941186
"2","3","1","126",2022-01-01,17747.5753175689,17074.2646235912,18420.8860115466
"2","3","1","126",2022-02-01,17797.7061168653,17123.5880920412,18471.8241416895
"2","3","1","126",2022-03-01,17847.8369161618,17172.9005872951,18522.7732450286
"2","3","1","126",2022-04-01,17897.9677154583,17222.202149216,18573.7332817005
"2","3","1","126",2022-05-01,17948.0985147547,17271.4928180033,18624.7042115062
"2","3","1","126",2022-06-01,17998.2293140512,17320.7726341834,18675.685993919
"2","3","1","126",2022-07-01,18048.3601133477,17370.0416386016,18726.6785880937
"2","3","1","126",2022-08-01,18098.4909126441,17419.2998724137,18777.6819528745
"2","3","1","126",2022-09-01,18148.6217119406,17468.5473770771,18828.6960468041
"2","3","1","126",2022-10-01,18198.752511237,17517.7841943427,18879.7208281314
"2","3","1","126",2022-11-01,18248.8833105335,17567.0103662461,18930.7562548209
"2","3","1","126",2022-12-01,18299.01410983,17616.2259350997,18981.8022845603
"2","3","1","126",2023-01-01,18349.1449091264,17665.4309434835,19032.8588747694
"2","3","1","126",2023-02-01,18399.2757084229,17714.6254342376,19083.9259826083
"2","3","1","126",2023-03-01,18449.4065077194,17763.8094504531,19135.0035649857
"2","3","1","126",2023-04-01,18499.5373070158,17812.9830354644,19186.0915785673
"2","3","1","126",2023-05-01,18549.6681063123,17862.1462328405,19237.189979784
"2","3","1","126",2023-06-01,18599.7989056088,17911.2990863772,19288.2987248403
"2","3","1","126",2023-07-01,18649.9297049052,17960.4416400883,19339.4177697221
"2","3","1","126",2023-08-01,18700.0605042017,18009.5739381983,19390.5470702051
"2","3","1","126",2023-09-01,18750.1913034981,18058.6960251334,19441.6865818629
"2","3","1","126",2023-10-01,18800.3221027946,18107.8079455145,19492.8362600747
"2","3","1","126",2023-11-01,18850.4529020911,18156.9097441482,19543.996060034
"2","3","1","126",2023-12-01,18900.5837013875,18206.0014660197,19595.1659367554
"2","3","1","126",2024-01-01,18950.714500684,18255.0831562845,19646.3458450835
"2","3","1","126",2024-02-01,19000.8452999805,18304.1548602609,19697.5357397
"2","3","1","126",2024-03-01,19050.9760992769,18353.2166234219,19748.735575132
"2","3","1","126",2024-04-01,19101.1068985734,18402.2684913878,19799.9453057589
"2","3","1","126",2024-05-01,19151.2376978698,18451.3105099188,19851.1648858209
"2","3","1","126",2024-06-01,19201.3684971663,18500.3427249071,19902.3942694255
"2","3","1","126",2024-07-01,19251.4992964628,18549.3651823696,19953.6334105559
"2","3","1","126",2024-08-01,19301.6300957592,18598.3779284405,20004.8822630779
"2","3","1","126",2024-09-01,19351.7608950557,18647.3810093642,20056.1407807471
"2","3","1","126",2024-10-01,19401.8916943522,18696.3744714878,20107.4089172165
"2","3","1","126",2024-11-01,19452.0224936486,18745.3583612541,20158.6866260432
"2","3","1","126",2024-12-01,19502.1532929451,18794.3327251944,20209.9738606958
"2","3","1","126",2025-01-01,19552.2840922415,18843.2976099218,20261.2705745613
"2","3","1","126",2025-02-01,19602.414891538,18892.2530621241,20312.5767209519
"2","3","1","126",2025-03-01,19652.5456908345,18941.1991285569,20363.8922531121
"2","3","1","126",2025-04-01,19702.6764901309,18990.1358560369,20415.2171242249
"2","3","1","126",2025-05-01,19752.8072894274,19039.0632914357,20466.5512874191
"2","3","1","126",2025-06-01,19802.9380887239,19087.9814816724,20517.8946957753
"2","3","1","126",2025-07-01,19853.0688880203,19136.8904737079,20569.2473023328
"2","3","1","126",2025-08-01,19903.1996873168,19185.7903145379,20620.6090600956
"2","3","1","126",2025-09-01,19953.3304866132,19234.6810511873,20671.9799220392
"2","3","1","126",2025-10-01,20003.4612859097,19283.5627307033,20723.3598411161
"2","3","1","126",2025-11-01,20053.5920852062,19332.4354001496,20774.7487702627
"2","3","1","126",2025-12-01,20103.7228845026,19381.2991066004,20826.1466624049
"2","3","1","126",2026-01-01,20153.8536837991,19430.1538971344,20877.5534704638
"2","3","1","126",2026-02-01,20203.9844830956,19478.999818829,20928.9691473621
"2","3","1","126",2026-03-01,20254.115282392,19527.8369187544,20980.3936460296
"2","3","1","126",2026-04-01,20304.2460816885,19576.6652439682,21031.8269194088
"2","3","1","126",2026-05-01,20354.3768809849,19625.4848415095,21083.2689204604
"2","3","1","126",2026-06-01,20404.5076802814,19674.2957583938,21134.719602169
"2","3","1","126",2026-07-01,20454.6384795779,19723.0980416073,21186.1789175484
"2","3","1","126",2026-08-01,20504.7692788743,19771.8917381018,21237.6468196468
"2","3","1","126",2026-09-01,20554.9000781708,19820.6768947895,21289.1232615521
"2","3","1","126",2026-10-01,20605.0308774673,19869.4535585377,21340.6081963968
"2","3","1","126",2026-11-01,20655.1616767637,19918.221776164,21392.1015773634
"2","3","1","126",2026-12-01,20705.2924760602,19966.9815944315,21443.6033576889
"2","3","1","126",2027-01-01,20755.4232753567,20015.7330600434,21495.1134906699
"2","3","1","126",2027-02-01,20805.5540746531,20064.4762196391,21546.6319296671
"2","3","1","126",2027-03-01,20855.6848739496,20113.211119789,21598.1586281102
"2","3","1","126",2027-04-01,20905.815673246,20161.9378069899,21649.6935395022
"2","3","1","126",2027-05-01,20955.9464725425,20210.656327661,21701.236617424
"2","3","1","126",2027-06-01,21006.077271839,20259.3667281392,21752.7878155387
"2","3","1","126",2027-07-01,21056.2080711354,20308.0690546749,21804.3470875959
"2","3","1","126",2027-08-01,21106.3388704319,20356.7633534279,21855.9143874359
"2","3","1","126",2027-09-01,21156.4696697284,20405.4496704631,21907.4896689936
"2","3","1","126",2027-10-01,21206.6004690248,20454.1280517468,21959.0728863028
